djentelmen	джентельмен
asfálttalý	асфальтталу
glıosıt	глиоцит
kondomınıým	кондоминиум
sanıan	саниан
dóskıý	дөцкию
akvalań	акваланг
hárkim	һәркім
akýmýlásıa	аккумуляция
etnosaıasatynyń	этносаясатының
ınventarızasıa	инвентаризация
ShQÓÝ	ШҚӨУ
shahınshah	шаһиншаһ
ývertúra	увертюра
ınkrýstasıa	инкрустация
dıspach	диспач
kalsıfır	кальцифир
monoteısti	монотеисті
saldosy	сальдосы
lıro-epostyq	лиро-эпостық
pedıkúr	педикюр
teramısın	террамицин
shovınısti	шовинисті
ıarpuz	иарпұз
múltıplıkasıalyq	мультипликациялық
dendrosıt	дендроцит
saııada	саййада
sensýalıster	сенсуалистер
trúm	трюм
snarádtardy	снарядтарды
qystaqchy	қыстақчы
qylǵýchy	қылғучы
asbahan	асбаһан
ıapurdy	иапұрды
el-malıkııa	эл-маликийа
túrýchi	түручі
uıaldy	ұйалды
ınspeksıalyq	инспекциялық
aerofotoaparat	аэрофотоаппарат
ýchastoktik	участоктік
endokrınologıalyq	эндокринологиялық
monopolısik	монополистік
mıeloblastar	миелобластар
leıkosıt	лейкоцит
potensıaly	потенциалы
mýfeldi	муфельді
kargah	каргаһ
balásına	балясина
ıapǵaq	иапғақ
ekskýrsant	экскурсант
chellendj	челлендж
mehanısızm	механицизм
komýnıstik	коммунистік
chańǵyraq	чаңғырақ
qychurdy	қычұрды
ShBJNB	ШБЖНБ
etnometodologıa	этнометодология
magıstraldyq	магистральдық
zymiran	зымьіран
franchaızıń	франчайзинг
alúmel	альюмель
solárka	солярка
absorbsıa	абсорбция
aýksıon	аукцион
chendeı	чендей
sýfıks	суффикс
ınersıasyz	инерциясыз
avantúrıstiń	авантюристің
aıdahardyń	айдаһардың
pedıatrıalyq	педиатриялық
ımýnıtettik	иммунитеттік
feleton	фельетон
ahyla-úhile	аһыла-үһьіле
ekspozısıalan	экспозициялан
máıekteý	мәиектеу
ańsasiaýý	аңсасьіауу
mehirman	меһірман
barahna	бараһна
refraksıasy	рефракциясы
rezıdensıa	резиденция
prosesory	процессоры
últramıkrotaldaý	ультрамикроталдау
asqanalyq	асханалық
epısıllogızm	эписиллогизм
chyfylady	чыфылады
fonasıa	фонация
jaýarah	жауараһ
abat	аббат
paralel	параллель
cherkes	черкес
shenbuı	шенбұи
vana	ванна
flúvıoglásıaldyq	флювиогляциалдық
ekspektasıaar	экспектацияар
molárlyq	молярлық
chandan	чандан
ıshshaı	ищай
etnografıa	этнография
dáıeksóz	дәиексөз
gazgolder	газгольдер
reprodýksıa	репродукция
melıorasıalaý	мелиорациялау
birnecheleri	бірнечелері
patıson	паттисон
vanasy	ваннасы
gaýharly	гауһарлы
sosıologıadaǵy	социологиядағы
fashısik	фашистік
kirpıazdaný	кірпиаздану
sholasıka	схоластика
assary	ацсары
batalón	батальон
núton	ньютон
AÓYSSh	АӨЫСШ
reaksıoner	реакционер
nılsborıı	нильсборий
ýiljyǵan	уьілжыған
ekspozısıa	экспозиция
lıngvıstıkalyq	лингвистикалық
súlfıtasıa	сульфитация
defolıasıala	дефолиацияла
ıapushub	иапұшұб
bádáýı	бәдәуи
kapsel	капсель
epıstıl	эпистиль
motel	мотель
neıromedıator	нейромедиатор
materıaldarynynyń	материалдарынының
nakahan	накаһан
ıylynchǵa	иылынчға
ekstra-syılyqaqy	экстра-сыйлықақы
modıfıkasıalaý	модификациялау
razrády	разряды
deterıorasıa	детериорация
altyn-valúta	алтын-валюта
dempıńi	демпингі
ıláhym	иләһым
gelmgols	гельмгольц
kalvınızm	кальвинизм
abstraksıa	абстракция
roıálshi	рояльшы
daktıl	дактиль
evenkılik	эвэнкилік
valdshnep	вальдшнеп
modernısik	модернистік
chá-chámelek	чә-чәмелек
korreksıa	коррекция
kapıtel	капитель
aqıdofıl	ақидофиль
evoınformatıka	эвоинформатика
úchisinden	үчісінден
fılmografıalyq	фильмографиялық
medalıstiń	медалистің
beta-koeffısıent	бета-коэффициент
sosıaldy	социалды
kompozısıasy	композициясы
seıisqana	сейісхана
poemasymaq	поэмасымақ
emirchke	емірчке
adaptasıalyq	адаптациялық
monopolıs	монополист
barham	бәрһам
ıanytty	ианытты
ekonomıkanyń	экономиканың
ımýndy	иммунды
reformıstiń	реформистің
statısıkasy	статистикасы
daltonızm	дальтонизм
estetıkalyq	эстетикалық
ıntrodýksıa	интродукция
ıadagerlik	иадагерлік
jenshen	женьшень
sýbekvatorlyq	субэкваторлық
ıarpatty	иарпатты
cha-cha-cha	ча-ча-ча
zakonchık	закончик
etımologıa	этимология
ekonomıka	экономика
delımıtasıa	делимитация
kartezıanshyldyq	картезианшылдық
vedimistik	ведомстволық
qabyqti	қабықтьі
tushshylaý	тұщылау
ıaǵyrlyǵ	иағырлығ
lıroepos	лироэпос
oponenttik	оппоненттік
kanserogendi	канцерогенді
bıolokasıa	биолокация
endogamıa	эндогамия
revızıonıs	ревизионист
áktas-pýssıonaldy	әктас-пуцционалды
rekomendasıa	рекомендация
fotoreseptor	фоторецептор
reformıs	реформист
vakýmda	вакуумда
dıýana	диуана
etatızm	этатизм
derıvasıa	деривация
baıat-ýa-mamýr	байат-уа-мамур
dosımonologıa	доцимонология
sýbektilik	субьектілік
áshhadý	әшһаду
chebelený	чебелену
palto	пальто
krıstal	кристалл
artıs	артист
dáıekshi	дәиекші
ıashlarny	иашларны
segnetoelektr	сегнетоэлектр
reverberasıa	реверберация
elıps	эллипс
ıntýısıa	интуиция
namaıan	намайан
epıgenetıka	эпигенетика
aıýandarsha	айуандарша
elektronnyı	электронный
jahannamnan	жаһаннамнан
búretka	бюретка
kombınasıa	комбинация
evdemonızm	эвдемонизм
lıaqat	лиақат
pıadeni	пиадені
bımetalızm	биметаллизм
ımıjmeıker	имиджмейкер
dańqqoı	даңққои
ketchúp	кетчуп
energıanyń	энергияның
fashıster	фашистер
paleoglásıologıa	палеогляциология
ınısıaldyq	инициалдық
deformasıalaý	деформациялау
múhtádı	мүһтәди
ıahshylar	иахшылар
ekvator	экватор
agranýlosıtter	агранулоциттер
ımýnıtetteý	иммунитеттеу
býrát	бурят
mıkrorelef	микрорельеф
elektrlik	электрлік
ál-mansýrııa	әл-мансурийа
medıasy	медиасы
eksporttyq-ımporttyq	экспорттық-импорттық
stılıs	стилист
motosıklıst	мотоциклист
aspahanı	аспаһани
seq-qa	сэқ-қа
dzúdo	дзюдо
koeffısenti	коэффиценті
evrıstıka	эвристика
ShjOK	ШжОК
konstıtýsıa	конституция
dıallag	диаллаг
feletondyq	фельетондық
epılásıa	эпиляция
nasıat	насиат
gıdroenergıa	гидроэнергия
máleık	мәлеик
erozıa	эрозия
býriltaı	бурьілтай
álgeologıa	альгеология
kecheli	кечелі
bıǵaıat	биғайат
losıa	лоция
ametıstiń	аметистің
ál-muǵırııa	әл-мұғирийа
koefısıentti	коэффициентті
choǵyltý	чоғылту
gıdroaerodrom	гидроаэродром
metanal	метаналь
lısenzıalan	лицензиялан
ıanchuq	ианчұқ
asfálttatý	асфальттату
mırasıdıa	мирацидия
últrametamorfızm	ультраметаморфизм
rysar	рыцарь
fatalısti	фаталисті
emısıalyq	эмиссиялық
mentaldyq	ментальдық
týrısik	туристік
banagah	банагаһ
epopeıa	эпопея
ıamanlarny	иаманларны
endogendik	эндогендік
neokolonıalızm	неоколониализм
reklamasıa	рекламация
varant	варрант
chyjmyj	чыжмыж
pýrbaha	пурбаһа
ıatduq	иатдұқ
epızootologıa	эпизоотология
sýchýshdy	сучушды
ıatǵaq	иатғақ
ýstrısa	устрица
chapysha	чапыша
avtoınspeksıa	автоинспекция
tarbıalaý	тарбиалау
tushshyly	тұщылы
verıfıkasıalaý	верификациялау
hlorofıl	хлорофилл
rasıonaldyq	рационалдық
sýlfıd	сульфид
deformasıalaný	деформациялану
revalvasıa	ревальвация
qaıachuq	қайачұқ
mısıasyn	миссиясын
degenerasıa	дегенерация
týberkýloproteın	туберкулопротеин
últra	ультра
anagram	анаграмма
zasedatel	заседатель
fólklorıst	фольклорист
patshah	патшаһ
bıogeosenozdy	биогеоценозды
bólshevıktendirý	большевиктендіру
traktasıa	трактация
elektrondanýǵa	электрондануға
ıamlashdy	иамлашды
mıtıńile	митингіле
absolútttik	абсолютттік
modernıstik	модернистік
nıhaıatsyz	ниһаятсыз
komýnısti	коммунисті
ShYHO	ШЫХО
al-qııas	ал-қийас
aqıdofıldik	ақидофильдік
OShE	ОШЕ
senarı	сценарий
shilteı	шілтеи
tushshytyl	тұщытыл
ýchılıshesi	училищесі
falsh	фальшь
kapıtýlásıalyq	капитуляциялық
asqana	асхана
ınternet-addıksıa	интернет-аддикция
aerolog	аэролог
sınorına	синьорина
ıntersýbektıvtik	интерсубъективтік
geteroseldi	гетероцельді
meımechıt	меймечит
TShI	ТШИ
kapıtalısti	капиталисті
klasık	классик
últrasúzgiler	ультрасүзгілер
sýbordınasıalyq	субординациялық
ıańlyǵ	йаңлығ
evolúsıonıstiń	эволюционистің
sosıalızasıa	социализация
kúlt	культ
qaharly	қаһарлы
charanda	чаранда
vanadıı	ванадии
mıýalyq	миуалық
akredıtasıa	аккредитация
akompanement	аккомпанемент
beletrısi	беллетристі
ahylap-úhileý	аһылап-үһьілеу
kardıomıosıtter	кардиомиоциттер
ýchaskesine	учаскесіне
kondensasıalaý	конденсациялау
kóchdiler	көчділер
ındýrasıa	индурация
sekretar	секретарь
denomınasıa	деноминация
ál-ýahhabııa	әл-уаһхабийа
gelmınt	гельминт
dıýanalaý	диуаналау
monorels	монорельс
generalfeldmarshal	генералфельдмаршал
karerızm	карьеризм
ıabytaq	иабытақ
vıkýná	викунья
totıaıynda	тотияйында
hámrahı	һәмраһи
chızabý	чизабу
belláhı	белләһи
aeromektep	аэромектеп
ınsert	инцерт
hónerlik	һөнерлік
mnemogram	мнемограмма
ıarashur	иарашұр
ıamanlashǵanymyz	иаманлашғанымыз
aıanmaıyn	айанмайын
kálkýlásıala	калькуляцияла
sındıkalıster	синдикалистер
krosmen	кроссмен
kontemporızasıa	контемпоризация
ıodtandyrylý	йодтандырылу
padshahym	падшаһым
kranes	кранец
transendentaldyq	трансцендентальдық
ıabaqúlaq	иабақүлақ
vólt-amper	вольт-ампер
kaýchýktar	каучуктар
babııa	бабииа
emúlgator	эмульгатор
gallısızmder	галлицизмдер
konsentrat	концентрат
obekttanýshylyq	объекттанушылық
obstrýksıonıs	обструкционист
sanchyb	санчыб
taracha	тарача
pesa	пьеса
lıllahı	лиллаһи
anıııat	аниййат
jıhazdy	жиһазды
ıdealızasıala	идеализацияла
últrasúzý	ультрасүзу
chorqyndaý	чорқындау
asbessementti	асбестцементті
ıyrlar	йырлар
hárkez	һәркез
bálzamy	бальзамы
shılıń	шиллинг
reanımasıa	реанимация
marketıńi	маркетингі
denýdasıa	денудация
aerogeofızıka	аэрогеофизика
sanksıasy	санкциясы
orbıtal	орбиталь
tárbıat	тәрбиат
ındýstrıalyq-ınnovasıalyq	индустриялық-инновациялық
strýktýralıstiń	структуралистің
fasınasıa	фасцинация
mılenarıstik	милленаристік
dıvergensıa	дивергенция
QR AShM	ҚР АШМ
romanısti	романисті
atraksıa	аттракция
aeronavtıka	аэронавтика
radıojýrnalıster	радиожурналистер
KShD	КШД
mıkrokompúter	микрокомпьютер
ysyrshaq	ыцыршақ
patrúl	патруль
korespondent-bank	корреспондент-банк
altynchy	алтынчы
provıdensıalızm	провиденциализм
deklamasıa	декламация
vahtór	вахтёр
ýnıversalnyı	универсальный
akselbant	аксельбант
sýbektıvısti	субъективисті
ál-asharııa	әл-ашарийа
ınformbúrosy	информбюросы
sensasıaly	сенсациялы
devalvasıalaý	девальвациялау
ıamanlyq	иаманлық
opozısıa	оппозиция
poetıkasy	поэтикасы
anhama	анһама
flásıa	фляция
prıchelına	причелина
reprodýksıalyq	репродукциялық
emanasıa	эманация
federasıalyq	федерациялық
jahatty	жаһатты
materıal	материал
derevná	деревня
ıdealıstiń	идеалистің
kesimdi-syıaqyly	кесімді-сыйақылы
ınstıtýsıonalyq	институционалық
anıgılásıa	аннигиляция
gıdroızotermder	гидроизотермдер
káıfııat	кәйфийат
algologıalyq	альгологиялық
chyraljyń	чыралжың
atele	ателье
ıyrlary	йырлары
nıvaldyq	нивальдық
adrıan	адриан
ShUAA	ШҰАА
qýshıý	қушию
ShQMTÝ	ШҚМТУ
ahahala	аһаһала
ahylap-úhiletý	аһылап-үһьілету
asfálttalynyp	асфальтталынып
mańdaıaldy	маңдайалды
dáıekshe	дәиекше
dıatomıt	диатомит
qabahat	қабаһат
geksaoktaedr	гексаоктаэдр
kavalerıstiń	кавалеристің
sýperetnos	суперэтнос
velotrıal	велотриал
razrád	разряд
bıoekologıa	биоэкология
znachek	значек
prostıl	простиль
desımetrle	дециметрле
taýrııat	таурийат
ınkorporasıalyq	инкорпорациялық
ınflásıalyq	инфляциялық
nedoımke	недоимке
qachalady	қачалады
dezaktıvasıa	дезактивация
tuńǵys-manchjýr	тұңғыс-маньчжур
relátıvızm	релятивизм
eshafot	эшафот
modernızasıalaý	модернизациялау
mıkroobekt	микрообъект
kóchini	көчіні
mınıatúraly	миниатюралы
ekskavator	экскаватор
kastrúl	кастрюль
chatyraý	чатырау
monokýlár	монокуляр
aıaǵyn	айағын
garsbýrgıt	гарцбургит
amplıakıa	амплиакия
ıaǵaqlyǵ	иағақлығ
baharstan	баһарстан
qochǵarnyń	қочғарның
ıdealısti	идеалисті
epıtelıı	эпителий
gázdaı	гяздай
ırasıonalıstik	иррационалистік
aýtentıfıkasıa	аутентификация
oponent	оппонент
valqteý	вальқтеу
pasıfıstiń	пацифистің
rezervasıala	резервацияла
volútın	волютин
tazııa	тазийа
asosıasıaly	ассоциациялы
qorqunychy	қорқұнычы
urǵachyńyzny	ұрғачыңызны
trıýmf	триумф
ıazady	иазады
sháhýat	шаһуат
losón	лосьон
aparteıd	апартеид
vınchester	винчестер
ınjınırıń	инжиниринг
epıtet	эпитет
varıasıa	вариация
bálzamdyq	бальзамдық
affılıırlengen	аффилиирленген
ıartym	иартым
konfesıaly	конфессиялы
gosekzamen	госэкзамен
radıator	радиатор
velsteý	вельцтеу
ıabyshǵur	иабышғұр
múzık-hol	мюзик-холл
chýylǵan	чуылған
sılvınıt	сильвинит
alkaloıd	алкалоид
embargo	эмбарго
konstrýksıa	конструкция
otyn-energetıka	отын-энергетика
fýnksıonaldyq	функционалдық
delúvıılik	делювийлік
regýlátor	регулятор
chúkimeıt	чүкімейт
aerostatıka	аэростатика
fólklorlan	фольклорлан
qylychyn	қылычын
fashıstiń	фашистің
hýapáo	хуапяо
korektýra	корректура
esparset	эспарцет
agranýlosıtoz	агранулоцитоз
trýten	трутень
jumhurıat	жұмһұриат
ıllúvıı	иллювий
anaerob	анаэроб
churqandaý	чұрқандау
tizbektiparallel	тізбектіпараллель
qylychǵa	қылычға
emosıalar	эмоциялар
dalton-jospar	дальтон-жоспар
svoch-birlik	своч-бірлік
deklarasıasy	декларациясы
chekildeýik	чекілдеуік
ad-dýrýzııa	ад-дурузииа
perıstıl	перистиль
erýdıt	эрудит
karateshi	каратэші
bınokl	бинокль
gomologasıa	гомологация
paıaǵash	пайағаш
ahylap-úhilet	аһылап-үһьілет
makroekonomıka	макроэкономика
geterogram	гетерограмма
alegro	аллегро
ınstrýksıa	инструкция
vólta	вольта
mıchmanka	мичманка
JShS	ЖШС
benzel	бензель
chaldaýyt	чалдауыт
zúrıat	зүриат
beıýaqtaı	бейуақтай
búrokrat	бюрократ
nasybaıatym	насыбайатым
avtomodel	автомодель
ıańluq	иаңлұқ
qahhar	қаһһар
feletondat	фельетондат
sılvın	сильвин
býnııad	бунйиад
mınıatúrshyl	миниатюршыл
ýnsıa	унция
qyzylcha	қызылча
hárbir	һәрбір
etımologıalyq	этимологиялық
desátnık	десятник
polskıı	польский
ıýmshady	иумшады
fortochka	форточка
nechaev	нечаев
tushitý	тұшьіту
gaýhartas	гауһартас
sosıal-shovınızm	социал-шовинизм
saprah	сапраһ
vóltmetr	вольтметр
algısıdter	альгицидтер
alergen	аллерген
ekrandaı	экрандай
pastoral	пастораль
fılm	фильм
eleýterokok	элеутерококк
jaıilymdyq	жайьілымдық
portfeldik	портфельдік
gerıan	герйан
artılerıasy	артиллериясы
apalań-topalas	апалаң-топалац
mokýso-áme	мокусо-ямэ
chapchaq	чапчақ
korıandr	кориандр
roıalısti	роялисті
ekloga	эклога
asbesti	асбесті
kúnahyny	күнаһыны
beletrıstıka	беллетристика
ál-ıbadııa	әл-ибадийа
atık	аттик
dańǵoısý	даңғоисы
etnoáleýmettaný	этноәлеуметтану
ShTÁ	ШТӘ
zoosenoz	зооценоз
jahandyq	жаһандық
kapıtýlánttyq	капитулянттық
pancha	пантча
pýblısıstiń	публицистің
trapesıa	трапеция
amýnıchnık	амуничник
chyńrady	чыңрады
fakúlteti	факультеті
nelson	нельсон
aleıasyz	аллеясыз
dekabr	декабрь
koleksıashy	коллекцияшы
portfel	портфель
ınfeksıaly	инфекциялы
túıin-kompúter	түйін-компьютер
delfolına	дельфолина
fonetıs	фонетист
OShU	ОШҰ
eskımos	эскимос
taǵııan	тағйиан
tantem	тантьем
tushshyaǵar	тұщыағар
operasıalyq	операциялық
ınternosıonal	интерноционал
aerobtar	аэробтар
eginchi	егінчі
qachǵundyn	қачғұндын
chimchýir	чімчуір
radıs	радист
sholpi	шолпьі
radıogram	радиограмма
anýıtettik	аннуитеттік
súlfıt	сульфит
ıaǵyrynynyń	иағырынының
antropososıogenez	антропосоциогенез
ıaǵytǵan	иағытған
demonstrasıalyq	демонстрациялық
evakýasıa	эвакуация
karotınoıd	каротиноид
bental	бенталь
nıasın	ниацин
ekstern	экстерн
hokeıshi	хоккейші
ıarturdy	иартұрды
súrealıs	сюрреалист
erıstıka	эристика
ınkýbasıalyq	инкубациялық
retýsh	ретушь
remınısensıa	реминисценция
agresıalyq	агрессиялық
konformnost	конформность
ıadzyshdy	иадзышды
venchýr	венчур
parseldik	парцельдік
ıntoksıkasıa	интоксикация
transpúter	транспьютер
ýallahý	уаллаһу
antıkomýnızm	антикоммунизм
rúlde	рульде
mýltıplıkator	мультипликатор
renesans	ренессанс
jahankez	жаһанкез
kúltıvasıalaý	культивациялау
jýbııar	жубйиар
frýstrasıa	фрустрация
shlúzsiz	шлюзсіз
nýtasıalyq	нутациялық
ıazyndy	иазынды
aksesorıalar	акцессориялар
sándik-kompozısıalyq	сәндік-композициялық
bıajel	биажел
jáhılıa	жәһилия
gallúsınogendik	галлюциногендік
fasılıtasıa	фасилитация
jáhıtshil	жәһитшіл
dúshes	дюшес
proporsıonaldyq	пропорционалдық
kompresıasy	компрессиясы
qaharmansha	қаһарманша
dshǵyr	дьщғыр
taıamýmýna	тайамумуна
mınıatúrashy	миниатюрашы
ınflásıa	инфляция
motosıkl	мотоцикл
ekspedısıalyq	экспедициялық
flúoroz	флюороз
kabeltov	кабельтов
adaptasıa	адаптация
rejısershe	режиссерше
aksesýar	аксессуар
ınjeksıalyq	инжекциялық
pýblısıstik	публицистік
troskızm	троцкизм
assosıanızm	ассоцианизм
fýtýrıster	футуристер
generasıasy	генерациясы
aıdaharsha	айдаһарша
maýiqtyrý	мауьіқтыру
fúchers	фьючерс
manıfesi	манифесті
mýtasıalar	мутациялар
host-kompúter	хост-компьютер
mıkroelement	микроэлемент
dıaftorez	диафторез
bondholder	бондхольдер
aprobasıa	апробация
áskerı-medısınalyq	әскери-медициналық
ımpúlssanaýysh	импульссанауыш
shovınıster	шовинистер
akkomodasıasy	аккомодациясы
normırovshık	нормировщик
peızajıstiń	пейзажистің
dekatenasıalaý	декатенациялау
kabeldik	кабельдік
penchshámbá	пенчшәмбә
kartrıj	картридж
varıanttyq	варианттық
sellúlozdy	целлюлозды
tahtkohy	тахткоһы
ashq	АШҚ
monorelst	монорельст
ıaǵrynlady	иағрынлады
bıaban	биабан
áııýhan	әййуһан
ashylaǵan	ащылаған
kvarstaý	кварцтау
modeldendirý	модельдендіру
komersıalyq	коммерциялық
rasıonalızatorlyq	рационализаторлық
ıarymyny	иарымыны
aksızderdi	акциздерді
pnevmokok	пневмококк
áı-sháı	әи-шәй
baharly	баһарлы
haıýandyq	хайуандық
mılısıasy	милициясы
kattenachcho	каттеначчо
sırrozy	циррозы
anneksıalaý	аннекциялау
vakýmdy	вакуумды
vıolonchelıster	виолончелистер
ıazlyshdy	иазлышды
baroreseptor	барорецептор
spesıfıkasıa	спецификация
alhamdılahı	алхамдилаһи
fılokartıstiń	филокартистің
kaldera	кальдера
múchirip	мүчіріп
transdýksıa	трансдукция
gemosıtopoez	гемоцитопоэз
jaqin-jamaǵat	жақьін-жамағат
gradasıa	градация
kontamınasıa	контаминация
jer-jahan	жер-жаһан
pýblısısik	публицистік
ıaınyń	иайның
natúrmort	натюрморт
kostúmersha	костюмерша
aspahan	аспаһан
chaqyra	чақыра
prıcheskaly	прическалы
aperkot	апперкот
shahbaz	шаһбаз
parfúmerıa	парфюмерия
velokros	велокросс
jahanda	жаһанда
peızajıster	пейзажистер
poezıasy	поэзиясы
skeptısızm	скептицизм
embrıologıa	эмбриология
ıaruqluq	иарұқлұқ
ehe-ehe	еһе-еһе
revızıonısti	ревизионисті
chalańdatý	чалаңдату
jaıdari	жайдарьі
ashshyot	ащыот
jer-jıhan	жер-жиһан
latýn	латунь
ımpúls	импульс
elegısti	элегисті
reanımasıalyq	реанимациялық
ıandyq	иандық
absolúttik	абсолюттік
kartochka	карточка
medıtasıa	медитация
kompetensıa	компетенция
as-sýfrııa	ас-суфрийа
gýttapercha	гуттаперча
ınterlúdıa	интерлюдия
elektrmáshıne	электрмәшине
shalmaı	щалмай
ıntersýbekt	интерсубъект
bedduǵa	бэддұға
hıkaıat	хикайат
medıaqurylym	медиақұрылым
valúta	валюта
birrazrádti	бірразрядты
avıamodelshi	авиамодельші
fálset	фальцет
ajdaha	әждаһа
dıstıllásıala	дистилляцияла
qylynch	қылынч
fraksıalyq	фракциялық
aksıalardy	акцияларды
fılmderdiń	фильмдердің
shahahmet	шаһахмет
nasıonalızasıala	национализацияла
evolúsıasy	эволюциясы
artılerıashy	артиллерияшы
obekt	объект
valútalanbaǵan	валюталанбаған
ǵalıasqar	ғалиасқар
súrealıstiń	сюрреалистің
kros	кросс
radıotranslásıa	радиотрансляция
zıngshpıl	зингшпиль
kónkı	коньки
fashısti	фашисті
ıachandy	иачанды
IASJTSSh	ЯСЖТСШ
ásheıin	әшеиін
sınora	синьора
búro	бюро
qubila	құбьіла
bıahmet	биахмет
ekstraksıa	экстракция
gladıator	гладиатор
petısıa	петиция
shahadatnama	шаһадатнама
pálma	пальма
chyntaq	чынтақ
óch-óch-oı	өч-өч-ой
glútın	глютин
ıazyǵlyǵ	иазығлығ
toquzynchy	тоқұзынчы
darııa	дарйиа
ıaprýshdy	иапрушды
nýtasıa	нутация
álfa-bólshek	альфа-бөлшек
monýmentalıstiń	монументалистің
saıııd	саййид
valqalar	вальқалар
mytilý	мытьілу
demonopolızasıa	демонополизация
ýchılıshelik	училищелік
kamchýn	камчун
antıapeks	антиапекс
eýrochekter	еурочектер
ınkýltýrasıa	инкультурация
radıostansıa	радиостанция
fantasıka	фантастика
mobılızasıala	мобилизацияла
tahara	таһара
prosesterge	процестерге
qylychlaryn	қылычларын
úchúnchi	үчүнчі
sevinch	севінч
terorızmge	терроризмге
aıdaharsymaq	айдаһарсымақ
áýenavıgasıa	әуенавигация
lokomosıı	локомоции
aktór	актер
formaldy	формальды
últradybys	ультрадыбыс
hımıtologıa	химмитология
folıkýlıt	фолликулит
operasıalaný	операциялану
shahana	шаһана
avıahımkúres	авиахимкүрес
sırkach	циркач
ıonızasıalan	ионизациялан
kongresmen	конгрессмен
arnold	арнольд
ál-mazdakııa	әл-маздакийа
elıtarlyq	элитарлық
deltaplan	дельтаплан
palmetta	пальметта
agarchı	агарчи
obektiler	объектілер
dýralúmın	дуралюмин
tushshylaný	тұщылану
aktıvıstiń	активистің
mýláj	муляж
mıýa-baq	миуа-бақ
jahanamǵa	жаһанамға
beıarýaq	бейаруақ
semály	семьялы
monosıt	моноцит
boýlıńge	боулингке
lı-l-láhı	ли-л-ләһи
karıatıda	кариатида
kaýchýkti	каучукті
ıaqrylandy	иақрыланды
mqdısınaly-psıhologıalyq	мқдициналы-психологиялық
álpınıstiń	альпинистің
myshákty	мышьякты
ıntýıtıvti	интуитивті
chajaǵaı	чажағай
kálsıtıtter	кальцититтер
ahylat	аһылат
seksýaldyq	сексуальдық
ıalady	иалады
tergýlikchi	тергулікчі
asfálttan	асфальттан
agroekojúıe	агроэкожүйе
ákýchkeleý	әкучкелеу
revanshısik	реваншистік
okýpasıalaý	оккупациялау
ıapushǵan	иапұшған
fılatelıstiń	филателистің
chyńraq	чыңрақ
dıstıllásıa	дистилляция
ınvolúsıasy	инволюциясы
shlúp	шлюп
sýachy	суатчы
lıpogram	липограмма
galtel	галтель
markór	маркёр
móhrli	мөһрлі
ıaprúldy	иапрүлды
hýkmiıarlyq	хукмійарлық
ShBO	ШБО
paralelızm	параллелизм
balasty	балласты
ıaıylǵan	иайылған
batalónnyı	батальонный
polárlanýy	полярлануы
ıýánsı	юаньци
aksıalaryn	акцияларын
sentımentaldyq	сентиментальдық
akmeızm	акмеизм
sanııa	санийа
kompúterler	компьютерлер
galvanomagnıt	гальваномагнит
zaráád	заряяд
dıagnostıka	диагностика
radıosqema	радиосхема
stenografıstiń	стенографистің
anbııa	анбийа
sentımentalıstiń	сентименталистің
panıslamıster	панисламистер
novela	новелла
nıtrıfıkasıalaýshy	нитрификациялаушы
ekstremızm	экстремизм
mújtahıt	мүжтаһит
ejdıhatsyz	еждиһатсыз
sııasat	сийасат
seleksıalaý	селекциялау
epıkalyq	эпикалық
detranslátor	детранслятор
sosıal	социал
baraj	барраж
ıalǵashdy	иалғашды
karera	карьера
ınformasıalyq	информациялық
múhándıs	мүһәндис
ınflásıaǵa	инфляцияға
modýlátor	модулятор
temúrchimin	темүрчімін
sanchydylar	санчыдылар
gıaloklastar	гиалокластар
búdjetti	бюджетті
sırkúl	циркуль
ırıdektomıa	иридэктомия
profıldik	профильдік
vasaldyq	вассалдық
prosedýra	процедура
monastyr	монастырь
mıeloıdt	миелоидт
transendenttik	трансценденттік
revolúsıonarızm	революционаризм
chikildek	чікілдек
monoteıs	монотеист
eksplantasıa	эксплантация
ıngýmasıa	ингумация
aksıonerl	акционерл
podrád	подряд
glecher	глетчер
ıamaǵlyǵ	иамағлығ
HShYO	ХШЫО
zarádtaný	зарядтану
alaıhı-a-la	алайһи-а-ла
ıafynch	иафынч
lısenzıat	лицензиат
demgeche	демгече
ınersıa	инерция
ındýstrıaldyq	индустриалдық
nomınasıa	номинация
arabıs	арабист
etnosaralyq	этносаралық
zaharlyq	заһарлық
áshekeı	әшекеи
ıashurdy	иашұрды
ÁShB	ӘШБ
ıalyshdy	иалышды
latıfýndısti	латифундисті
hýshmand	һушманд
larvısıd	ларвицид
meshan	мещан
vanadııli	ванадиилі
attestasıa	аттестация
vılochka	вилочка
qaharattaý	қаһараттау
egoızm	эгоизм
ıchazat	ичазат
vıse-mınıstr	вице-министр
karamel	карамель
sensasıalyq	сенсациялық
marksısti	марксисті
hıanat	хианат
aıýankedi	айуанкеді
chaqpas	чақпас
basıtrasın	бацитрацин
rezervıstiń	резервистің
gelmport	гельмпорт
aksıdensıa	акциденция
ıarymaq	иарымақ
ýallahı	уәллаһи
oftálmıa	офтальмия
orfoepıa	орфоэпия
vıolonchelısti	виолончелисті
materıaldyq-tehnıkalyq	материалдық-техникалық
geosınklınal	геосинклиналь
alısıkldi	алициклді
ındýksıalaný	индукциялану
fólklortaný	фольклортану
jiktemes	жіктемесь
